LRRFIP1,THADA,RGS6,ZNF638,MMP23B,PLXNB1,RP3-377D14.1,USP34,THADA,CYorf15A,CHRNA6,THSD7B,THADA,MTIF2,FAM18B2,AC092299.1,AC069287.3,ARMC10,FAM123C,USP34,RP11-339I24.1,ZKSCAN4,LL22NC03-80A10.2,FAM123C,RPL21,SR140,MUC4,EHBP1,FOXO4,TRIM59,MUC4,MUC4,USP39,LRRFIP1,MMP23B,GRM8,TRIM59,outcome
9.494352,2.973412,4.060297,3.327416,4.910209,-3.678679,6.033708,3.734166,2.973412,7.21126,7.027397,1.581672,-1.575419,4.205839,6.779052,9.095097,5.611586,6.252646,6.836936,4.864425,3.497193,7.074137,6.795477,6.836936,5.443041,4.163899,3.82052,8.361821,4.610789,6.233121,4.281915,4.281915,9.077699,11.352656,4.910209,1.937028,6.233121,0
9.652347,1.041723,4.048302,-1.711181,3.676303,-2.834622,6.142283,4.108245,1.041723,7.042854,6.396356,2.59452,3.262082,3.745705,6.57626,7.582421,6.062672,6.904863,6.273705,4.328063,2.986875,6.770891,7.02382,6.273705,5.85557,4.207279,3.516237,8.52257,5.150122,6.384305,3.947593,3.947593,9.037315,11.339814,3.676303,3.893425,6.384305,0
10.032375,2.944126,4.073012,3.370234,4.816267,-3.444682,6.042527,4.534576,2.944126,6.8769,5.748254,3.144821,2.783184,3.861745,6.647608,8.292183,6.332998,6.699524,6.508263,4.896634,3.929674,7.259655,6.087781,6.508263,5.713569,4.313219,3.42411,8.316922,5.235859,6.954674,-7.450973,-7.450973,9.412453,11.233254,4.816267,4.037966,6.954674,0
9.770127,2.484607,4.132808,3.346088,4.360065,-2.318873,6.029438,3.598812,2.484607,7.280534,6.092505,3.485198,3.131198,3.790031,6.784958,8.614597,4.871376,5.838096,6.89793,4.84643,3.358854,7.350675,6.792928,6.89793,6.247584,4.387581,1.075238,8.023731,4.535613,6.557508,3.338574,3.338574,9.243624,11.281713,4.360065,3.634348,6.557508,0
9.684129,2.352003,4.006768,3.999665,4.097268,2.806521,6.013487,4.68403,2.352003,6.488243,5.554321,3.39591,3.371131,4.091603,6.553125,7.968104,5.338814,5.80894,6.614318,4.232402,4.440541,7.403636,6.604273,6.614318,6.051866,3.960165,3.049082,8.275141,5.701094,6.594414,4.009281,4.009281,9.403549,11.217501,4.097268,3.822086,6.594414,0
9.653219,-2.203626,3.959231,3.138848,4.198562,2.119956,5.720065,4.31554,-2.203626,6.811078,6.059505,3.865281,3.010219,3.351176,5.77165,8.007032,5.87823,6.167414,6.411349,3.940608,3.9565,7.277236,6.70002,6.411349,5.482747,4.043087,2.976749,8.094614,5.540758,6.134639,3.487626,3.487626,9.05852,11.079007,4.198562,3.663504,6.134639,0
8.806609,-5.212862,3.764755,2.226077,5.093653,-4.17131,5.766543,4.04986,-5.212023,6.957595,6.08455,2.932929,3.497425,3.995805,6.583873,8.640766,4.348291,6.105112,6.636681,-5.689052,3.954409,6.365824,6.779566,6.636681,5.68818,3.853303,-7.656588,6.851598,5.478524,6.037251,3.00428,3.00428,8.883086,11.222473,5.093653,3.617272,6.037251,0
9.338185,3.217988,3.921495,3.990827,4.760709,3.441071,5.963626,4.398572,3.217988,7.073144,6.176728,3.322895,2.891394,3.871021,6.851726,8.568856,6.62461,3.75683,6.80845,4.486166,3.371629,6.757929,7.179101,6.80845,5.66558,4.268875,0.523162,8.197657,5.341224,6.014592,-1.399429,-1.399429,9.358764,11.42049,4.760709,3.889251,6.014592,0
8.83849,1.835926,3.674818,3.150779,4.786175,-3.175421,5.765023,4.245866,1.835926,6.764988,6.185604,2.963591,2.305933,3.659675,7.037208,7.84954,5.51143,5.045594,6.683586,2.656894,4.016142,6.628956,6.658429,6.683586,5.868602,4.061474,3.363008,7.286378,4.139085,6.806544,-7.39559,-7.39559,9.162277,10.857111,4.786175,3.745679,6.806544,0
9.325286,0.701625,3.748608,4.108544,4.560981,-3.206067,6.059254,3.894619,0.701625,6.903462,6.127178,3.765092,2.626495,3.541974,6.21046,7.697507,6.136936,6.820697,7.025263,4.589495,3.745136,6.678486,6.918187,7.025263,6.504096,4.068097,-1.862381,7.88787,4.463419,6.692708,4.503778,4.503778,9.065061,11.484798,4.560981,3.815797,6.692708,0
9.868436,3.564868,3.452636,3.991394,3.995517,-3.004276,5.567812,4.507389,3.564868,6.552648,6.998382,4.507417,1.059062,4.304619,6.696847,8.5191,6.398312,5.271049,6.610581,5.447287,4.075974,7.030023,6.475096,6.610581,6.463162,4.077909,2.021562,8.767765,4.184826,6.630549,3.75163,3.75163,9.523659,11.372374,3.995517,3.648554,6.630549,0
8.400369,0.291203,3.88233,-1.453431,4.9645,-2.902564,6.000217,3.827527,0.291203,6.747254,6.332387,2.652005,2.416357,3.858184,6.955775,8.284968,4.392755,5.687226,6.102438,3.466171,4.203167,6.650454,6.816378,6.102438,6.123018,4.431664,-8.029123,8.057912,5.1294,6.593576,-8.058402,-8.058402,8.856048,11.138791,4.9645,4.10771,6.593576,0
9.815094,3.842083,3.586602,4.475351,5.096609,-2.623598,5.279111,4.915028,3.842083,7.217198,6.720718,-3.668428,1.625119,4.26596,6.590986,8.396483,6.565851,6.729301,6.934058,5.09228,3.473708,6.839095,6.186731,6.934058,5.886429,4.005755,-8.01235,8.782619,5.179131,6.613962,-8.032293,-8.032293,9.443651,11.294651,5.096609,3.8728,6.613962,0
9.44992,0.340549,4.354846,3.316879,3.715554,-3.177312,6.212342,4.092825,0.340549,6.910485,6.12984,2.961306,2.599274,3.660624,6.403091,7.910023,6.071866,5.054349,6.758143,3.247368,2.980883,7.063389,6.730452,6.758143,5.586167,4.126609,-4.727042,8.547035,4.463519,6.659913,4.180802,4.180802,9.091813,11.361338,3.715554,3.830884,6.659913,0
9.258886,1.205139,3.959736,-0.155981,5.353746,-3.006811,6.290831,4.195192,-4.0714,6.564796,6.642955,3.083848,3.372554,3.953377,6.186629,8.09934,6.005553,4.761293,6.782334,4.406601,3.693298,6.959162,6.559351,6.782334,6.284404,4.255775,1.983859,8.437486,3.89054,6.225117,4.450916,4.450916,9.051852,11.309353,5.353746,3.225381,6.225117,0
3.513129,-3.718196,1.75724,-2.404053,11.17875,3.856146,12.023955,-6.280511,-3.718196,13.278298,11.475495,-3.749209,-3.654659,-1.005862,11.819097,13.947883,12.732838,10.986585,12.237008,-6.572729,10.629014,12.034956,12.532435,12.237008,10.880423,10.718165,-9.115974,4.16808,11.542312,11.425994,-9.136356,-9.136356,4.101441,4.680524,11.17875,-3.594257,11.425994,1
3.453391,-4.45104,0.230273,-3.116353,11.203142,3.565033,11.905868,1.718169,-4.45104,13.921692,11.761536,-3.812132,2.443406,-1.871468,11.424378,13.330106,12.64925,11.156832,11.589033,-6.823428,10.349222,12.08111,12.577052,11.589033,10.779933,10.35895,-8.430799,4.212424,11.133931,11.091207,-8.48784,-8.48784,4.104438,4.669123,11.203142,1.999498,11.091207,1
3.562772,-3.399518,0.897198,-2.252563,11.274609,3.677969,11.587896,3.483826,-3.399518,12.958934,11.111388,-3.995434,-3.35096,-1.18782,11.943126,13.96921,13.200089,11.310456,11.519741,3.363415,10.081821,12.351821,12.040064,11.519741,10.837019,10.923001,-8.504064,4.11471,11.480955,11.848464,-8.53367,-8.53367,4.247084,4.710692,11.274609,1.595009,11.848464,1
4.456713,-3.32303,-0.871927,-2.385642,11.730755,3.449857,12.24032,-4.613078,-3.32303,13.187021,12.133948,-3.692973,-2.639613,0.267239,11.553613,13.46653,12.576456,11.070703,12.047348,3.250468,9.900514,12.594506,12.656515,12.047348,11.154618,10.254789,1.962857,3.908505,11.334552,11.382456,-6.579976,-6.579976,4.187641,4.591122,11.730755,-0.98343,11.382456,1
4.885887,-3.924116,1.07594,-2.07575,11.608237,1.733114,12.703477,-5.805618,-3.924116,13.538157,11.274374,4.027299,-3.85934,-1.302902,11.290298,13.877418,12.543426,11.514009,12.175951,3.937799,10.277592,12.368998,12.97699,12.175951,11.169963,10.621843,-3.591492,3.610046,11.521096,11.994653,5.105906,5.105906,3.955555,4.782651,11.608237,-0.172333,11.994653,1
4.35187,-4.512111,-1.931837,-2.334712,11.461507,2.890729,12.03428,2.445799,-4.512111,13.56332,11.238535,-3.614376,1.658743,-0.447483,11.62484,13.945328,12.770429,10.98047,12.122796,1.684757,9.979265,12.542457,12.55982,12.122796,11.075655,10.480197,-3.357164,4.108956,11.801739,11.990947,1.808683,1.808683,4.112677,4.472691,11.461507,-2.968838,11.990947,1
4.432044,-4.541204,2.317176,-3.236765,11.581235,3.451591,12.267478,-6.861935,-4.541204,13.681645,11.670907,0.445619,-4.485966,-0.886431,11.73912,13.536837,13.202658,10.865246,12.039109,-7.177771,9.99463,12.318212,12.502256,12.039109,11.638112,10.698565,-5.424038,3.79018,11.898438,11.630021,-5.44852,-5.44852,3.899408,4.49012,11.581235,-1.886404,11.630021,1
4.422241,-3.911891,-2.502187,3.831805,11.563134,2.84759,11.950022,-3.745224,-3.911891,13.617692,11.730517,-4.01539,-3.856876,-1.21563,11.643306,14.404231,12.78505,11.736644,11.903472,4.616849,10.145458,12.453784,12.239465,11.903472,11.041098,10.365839,-5.801312,4.165384,11.500813,11.890106,3.825754,3.825754,4.124717,4.696216,11.563134,-2.395118,11.890106,1
3.586044,-4.030581,2.864159,-2.647379,11.461797,2.845965,12.736761,1.654435,-4.030581,13.652092,11.663566,4.251854,-3.967002,-1.378797,11.958767,13.694976,12.994375,11.007706,12.006165,1.935608,10.013338,12.260022,12.608012,12.006165,10.756522,10.675824,1.934495,3.849332,11.663885,11.43393,0.498037,0.498037,3.942834,4.513293,11.461797,2.455753,11.43393,1
4.13171,-3.034824,-1.705457,-0.172747,11.494722,3.188712,12.177347,-5.985736,-3.034824,13.711614,11.674229,-4.133423,-2.992878,-1.26148,11.937595,14.090258,12.701752,11.159222,11.854164,3.829741,10.046839,11.811384,11.900106,11.854164,11.001736,10.424138,-8.242916,3.65463,11.534883,11.666706,-8.267421,-8.267421,4.1569,4.737783,11.494722,1.708261,11.666706,1
3.586343,-2.590903,-1.593394,-1.67463,11.32031,2.450849,12.011121,4.237262,-2.590903,13.556825,11.377609,-3.139817,-2.551092,-0.873515,11.560681,14.151883,13.043535,10.835792,12.010951,2.481772,9.921317,12.239456,12.504749,12.010951,10.923331,10.640288,-4.105153,3.952457,11.203111,11.784882,-7.36986,-7.36986,4.081834,4.203701,11.32031,-2.917247,11.784882,1
3.531706,-3.35091,-2.472362,-2.333913,11.81821,2.945011,12.103694,3.400174,-3.35091,13.27496,11.324162,-3.706674,-3.300662,-1.502734,12.07374,13.779566,12.798176,10.666536,11.321195,1.90638,10.3053,12.530293,12.005585,11.321195,10.697188,10.636744,3.287082,3.864126,11.452573,11.456886,-6.572588,-6.572588,4.104661,4.419551,11.81821,1.180483,11.456886,1
3.417708,-5.783022,-3.208435,-4.253024,11.747987,3.262146,12.043913,-8.581332,-5.783022,13.159327,11.142937,-4.718669,-5.711027,-2.041708,11.646059,13.478337,12.56673,10.863542,11.606998,-8.972887,10.415286,11.767683,12.06969,11.606998,11.209605,10.479714,-10.242843,3.866714,11.21009,10.983615,-10.27015,-10.27015,4.186793,4.392073,11.747987,-0.896016,10.983615,1
2.964295,-5.41148,-2.870244,-4.054147,12.134091,3.334788,11.929147,-9.799815,-5.41148,13.268979,11.264855,1.161304,-5.327022,-1.882557,12.018093,13.96679,12.642005,10.948855,11.922803,-10.242253,10.298916,11.852544,12.715559,11.922803,10.869194,10.852549,2.520808,3.836861,11.397584,11.53526,-1.079552,-1.079552,3.573257,4.974773,12.134091,-4.323406,11.53526,1
4.295255,-3.160103,-2.363163,-1.966432,11.311528,2.957547,12.001471,-4.77761,-3.160103,13.881879,11.895611,-3.676827,0.036697,-1.408612,11.556486,13.996363,13.05997,10.853307,11.952837,4.298974,10.209123,12.241864,12.239029,11.952837,10.507078,10.724205,-8.327059,4.401404,11.51193,11.354431,-8.346675,-8.346675,4.025773,4.464994,11.311528,0.289582,11.354431,1
4.221886,-4.110894,0.832728,1.106573,11.446033,2.84025,12.256924,4.00755,-4.110894,13.480145,12.027333,4.465275,-4.052586,-1.247292,11.669087,14.286745,12.692643,11.035013,11.915506,-6.076564,10.34427,12.146514,12.921579,11.915506,11.138356,10.442501,-6.552048,3.996439,11.787929,11.204316,2.855514,2.855514,4.138668,4.506542,11.446033,0.972003,11.204316,1
4.083856,-4.57242,-0.431344,-2.680786,11.246887,1.520319,12.150527,-5.206187,-4.57242,12.950683,11.473065,-3.715304,-4.509871,-1.580788,11.655619,13.609974,12.547762,10.799722,11.651496,3.144927,10.316716,12.604413,12.397677,11.651496,10.741429,10.763464,2.337044,3.829021,11.341302,11.791977,2.376417,2.376417,4.007549,4.525509,11.246887,0.506879,11.791977,1
3.959133,-3.707614,1.729942,-1.679992,11.551494,1.795559,12.169826,3.448452,-3.707614,13.99041,11.885914,0.331875,-3.658977,-1.340667,11.896678,14.031584,13.045257,11.477605,12.54848,3.680335,10.087694,12.319915,12.201978,12.54848,10.976967,10.907143,-5.214754,4.333273,11.678069,11.582537,3.088543,3.088543,3.872818,4.64691,11.551494,1.859429,11.582537,1
4.211295,-3.290885,-2.575628,-0.530667,12.05595,3.587388,12.404337,-5.942611,-3.290885,13.763303,11.770447,-3.307695,3.161384,0.310187,11.745429,14.300497,12.904231,10.854775,12.034445,-1.340686,10.441661,12.406014,12.707523,12.034445,10.864822,10.579398,-4.390052,3.550744,11.411075,12.144368,4.268288,4.268288,4.109329,4.706489,12.05595,-2.766282,12.144368,1
3.446291,-3.664145,1.529023,-2.862925,11.407055,3.571116,11.824614,0.998782,-3.664145,13.631089,11.170482,3.129214,-3.602986,-1.161607,11.791157,13.761171,12.749318,10.968126,11.800425,-6.878815,10.295585,12.183272,12.845658,11.800425,11.142661,10.668447,2.663138,4.685424,11.412464,11.081393,-8.688155,-8.688155,4.212762,4.683043,11.407055,-0.446293,11.081393,1
5.222698,-3.621023,-2.629663,-2.002624,11.364012,3.734591,11.865007,-4.231707,-3.621023,12.908138,11.473266,-4.362481,2.70712,-0.804585,11.250202,13.930068,12.90701,11.184601,11.730825,4.080518,10.130911,12.586547,12.023613,11.730825,10.645355,10.384026,-9.712645,4.174954,11.499757,12.026514,-9.735484,-9.735484,4.404532,4.597256,11.364012,1.118679,12.026514,1
4.176852,-2.510032,2.011805,2.506324,11.366953,3.745953,11.974929,-3.98136,-2.510032,13.677306,11.952065,-3.778552,1.166507,2.644944,11.492356,13.842541,12.938582,11.484702,11.847801,3.220113,9.77111,12.273704,12.458623,11.847801,11.214698,10.584399,-6.719239,4.291931,11.389633,11.92006,-6.745193,-6.745193,4.201215,4.621742,11.366953,-2.649652,11.92006,1
3.551257,-2.880994,-0.940455,3.825689,11.438446,-2.146035,11.673832,4.595665,-2.880994,13.217787,11.561749,-4.187007,-2.842586,-1.090622,12.50575,14.596791,13.117541,11.262817,11.535631,5.259645,10.194653,12.75505,11.678281,11.535631,10.780619,10.763285,2.676141,4.284006,11.730688,11.599323,3.332022,3.332022,4.143878,4.477265,11.438446,-3.099097,11.599323,1
4.348057,-2.649288,1.915446,1.500498,11.756938,3.487319,12.134439,3.518162,-2.649288,13.68153,11.64999,-3.100172,-2.60934,-0.619022,11.817704,13.598977,12.807105,11.637509,12.322412,4.350981,9.815204,12.53235,12.461768,12.322412,10.651276,10.424846,-8.018729,4.335787,11.448044,11.8316,-8.033903,-8.033903,4.082685,4.336456,11.756938,-0.332707,11.8316,1
4.791545,-2.970771,-2.503877,2.548868,11.325058,3.039437,11.971375,-3.734825,-2.970771,13.772967,11.813496,2.845656,1.828294,-0.9407,11.502743,14.120286,13.299187,11.533019,11.925981,4.68619,9.964334,12.499109,12.211899,11.925981,10.835124,10.646332,4.199726,4.462362,11.192605,11.377544,-5.741164,-5.741164,4.168673,4.5102,11.325058,0.126735,11.377544,1
3.498851,-6.129199,-0.67781,-4.765731,11.528347,3.494543,12.032894,-9.394716,-6.129199,12.937869,11.800463,4.282662,-4.091081,-2.571458,11.767535,13.43286,12.064328,11.061966,11.868009,1.966941,10.592468,11.513277,11.759075,11.868009,11.084246,10.28025,-8.118631,3.579843,11.579703,11.488346,3.97974,3.97974,3.842416,4.980545,11.528347,1.525173,11.488346,1
3.927951,-3.407865,0.625626,1.291287,11.628059,2.339537,12.354105,4.051089,-3.407865,13.847768,11.865914,3.547001,3.24701,-0.829959,11.31907,13.453383,12.952884,11.293465,11.888791,4.55266,10.255081,12.565319,12.709746,11.888791,10.901857,10.55941,3.731118,4.1817,11.36107,11.562985,2.482538,2.482538,4.011294,4.642878,11.628059,-2.890412,11.562985,1
4.387066,-2.549789,-0.335785,2.341129,11.556823,2.443014,12.10838,4.307245,-2.549789,13.661096,11.567876,4.442345,-2.510189,-0.890929,11.596652,14.521385,12.822495,11.135561,11.836071,3.301537,10.020601,12.365185,12.30075,11.836071,10.994947,10.628328,-7.475838,4.234796,11.517695,11.800724,-7.496862,-7.496862,4.117304,4.596425,11.556823,-3.146748,11.800724,1
4.230561,-3.772424,1.211193,3.293333,11.288749,-3.25981,12.407453,3.976234,-3.772424,13.404092,11.77388,3.870262,-3.708675,-0.934375,11.820237,14.269428,12.698591,11.792219,11.818897,5.108105,9.911056,12.040043,12.521244,11.818897,10.816663,10.785894,0.441683,3.946085,11.648184,11.496728,5.14278,5.14278,4.099888,4.697084,11.288749,1.379122,11.496728,1
4.317449,-3.420387,-0.522518,2.743454,11.463132,1.803664,12.666062,-0.765126,-3.420387,13.626842,11.568352,-3.464521,-3.364231,-1.057165,11.665057,13.628763,12.591592,11.34404,12.163609,4.484494,10.048426,12.349741,12.935412,12.163609,10.590212,10.706592,-3.329633,3.929201,11.210975,11.581734,5.272234,5.272234,3.986936,4.68126,11.463132,-3.008029,11.581734,1
